date,day,incident,min_delay
2024-01-01,Monday,Vision,10
2024-01-01,Monday,General Delay,20
2024-01-01,Monday,General Delay,0
2024-01-01,Monday,Security,0
2024-01-01,Monday,Security,0
2024-01-01,Monday,Operations - Operator,8
2024-01-01,Monday,General Delay,20
2024-01-01,Monday,Emergency Services,21
2024-01-01,Monday,Security,10
2024-01-01,Monday,Utilized Off Route,0
2024-01-01,Monday,Cleaning - Unsanitary,30
2024-01-01,Monday,Security,0
2024-01-01,Monday,Cleaning - Unsanitary,25
2024-01-01,Monday,Emergency Services,0
2024-01-01,Monday,Emergency Services,30
2024-01-01,Monday,Security,0
2024-01-01,Monday,Diversion,18
2024-01-01,Monday,General Delay,20
2024-01-01,Monday,Diversion,20
2024-01-01,Monday,Security,23
2024-01-01,Monday,Mechanical,12
2024-01-01,Monday,Mechanical,21
2024-01-01,Monday,Mechanical,14
2024-01-01,Monday,Diversion,780
2024-01-01,Monday,Security,20
2024-01-01,Monday,Security,8
2024-01-01,Monday,Operations - Operator,30
2024-01-01,Monday,Operations - Operator,0
2024-01-01,Monday,Emergency Services,30
2024-01-01,Monday,Mechanical,15
2024-01-01,Monday,Mechanical,10
2024-01-01,Monday,Operations - Operator,10
2024-01-01,Monday,Emergency Services,24
2024-01-01,Monday,Mechanical,11
2024-01-01,Monday,Operations - Operator,14
2024-01-01,Monday,Mechanical,25
2024-01-01,Monday,Cleaning - Unsanitary,55
2024-01-01,Monday,Mechanical,30
2024-01-01,Monday,General Delay,52
2024-01-01,Monday,Mechanical,8
2024-01-01,Monday,Mechanical,15
2024-01-01,Monday,Security,10
2024-01-01,Monday,Operations - Operator,22
2024-01-01,Monday,Diversion,0
2024-01-01,Monday,Mechanical,10
2024-01-01,Monday,Diversion,15
2024-01-01,Monday,Diversion,6
2024-01-01,Monday,Collision - TTC,7
2024-01-01,Monday,Operations - Operator,10
2024-01-01,Monday,Collision - TTC,10
2024-01-01,Monday,Mechanical,10
2024-01-01,Monday,Mechanical,12
2024-01-01,Monday,Security,10
2024-01-01,Monday,Cleaning - Unsanitary,20
2024-01-01,Monday,Cleaning - Unsanitary,20
2024-01-01,Monday,Mechanical,20
2024-01-01,Monday,Mechanical,12
2024-01-01,Monday,Diversion,350
2024-01-01,Monday,Cleaning - Unsanitary,8
2024-01-01,Monday,Security,10
2024-01-01,Monday,Operations - Operator,30
2024-01-01,Monday,Mechanical,7
2024-01-01,Monday,Emergency Services,30
2024-01-01,Monday,Mechanical,20
2024-01-01,Monday,Operations - Operator,45
2024-01-01,Monday,Mechanical,20
2024-01-01,Monday,Mechanical,12
2024-01-01,Monday,Diversion,56
2024-01-01,Monday,Mechanical,12
2024-01-01,Monday,Utilized Off Route,0
2024-01-01,Monday,Mechanical,5
2024-01-01,Monday,Diversion,28
2024-01-01,Monday,Diversion,141
2024-01-01,Monday,Diversion,10
2024-01-01,Monday,Operations - Operator,28
2024-01-01,Monday,Operations - Operator,10
2024-01-01,Monday,Cleaning - Unsanitary,17
2024-01-01,Monday,Mechanical,5
2024-01-01,Monday,Mechanical,10
2024-01-01,Monday,Security,10
2024-01-01,Monday,Investigation,90
2024-01-01,Monday,Mechanical,20
2024-01-01,Monday,Diversion,0
2024-01-01,Monday,Operations - Operator,24
2024-01-01,Monday,Emergency Services,15
2024-01-01,Monday,Emergency Services,15
2024-01-01,Monday,Mechanical,25
2024-01-01,Monday,Diversion,60
2024-01-01,Monday,Diversion,60
2024-01-01,Monday,Diversion,640
2024-01-01,Monday,Diversion,76
2024-01-01,Monday,Diversion,63
2024-01-01,Monday,Diversion,63
2024-01-01,Monday,Diversion,60
2024-01-01,Monday,Cleaning - Unsanitary,60
2024-01-01,Monday,Mechanical,22
2024-01-01,Monday,Operations - Operator,30
2024-01-01,Monday,Emergency Services,20
2024-01-01,Monday,Diversion,80
2024-01-01,Monday,Security,24
2024-01-02,Tuesday,Security,0
2024-01-02,Tuesday,Security,30
2024-01-02,Tuesday,Emergency Services,7
2024-01-02,Tuesday,Cleaning - Unsanitary,8
2024-01-02,Tuesday,Security,0
2024-01-02,Tuesday,Operations - Operator,7
2024-01-02,Tuesday,Operations - Operator,7
2024-01-02,Tuesday,Operations - Operator,31
2024-01-02,Tuesday,Emergency Services,0
2024-01-02,Tuesday,Mechanical,20
2024-01-02,Tuesday,Operations - Operator,7
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Operations - Operator,8
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,9
2024-01-02,Tuesday,Mechanical,19
2024-01-02,Tuesday,Operations - Operator,8
2024-01-02,Tuesday,Mechanical,8
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Mechanical,7
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,9
2024-01-02,Tuesday,Operations - Operator,9
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Operations - Operator,27
2024-01-02,Tuesday,Diversion,38
2024-01-02,Tuesday,Mechanical,24
2024-01-02,Tuesday,Operations - Operator,6
2024-01-02,Tuesday,Diversion,38
2024-01-02,Tuesday,Diversion,38
2024-01-02,Tuesday,Cleaning - Unsanitary,9
2024-01-02,Tuesday,Mechanical,16
2024-01-02,Tuesday,Mechanical,6
2024-01-02,Tuesday,Cleaning - Unsanitary,15
2024-01-02,Tuesday,Collision - TTC,15
2024-01-02,Tuesday,Mechanical,9
2024-01-02,Tuesday,Operations - Operator,5
2024-01-02,Tuesday,Operations - Operator,4
2024-01-02,Tuesday,Mechanical,11
2024-01-02,Tuesday,Diversion,182
2024-01-02,Tuesday,Mechanical,11
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Mechanical,15
2024-01-02,Tuesday,Mechanical,11
2024-01-02,Tuesday,Mechanical,9
2024-01-02,Tuesday,Operations - Operator,5
2024-01-02,Tuesday,General Delay,0
2024-01-02,Tuesday,Mechanical,9
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,12
2024-01-02,Tuesday,Operations - Operator,11
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,12
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,18
2024-01-02,Tuesday,Operations - Operator,15
2024-01-02,Tuesday,Mechanical,28
2024-01-02,Tuesday,Operations - Operator,22
2024-01-02,Tuesday,Operations - Operator,16
2024-01-02,Tuesday,Cleaning - Unsanitary,8
2024-01-02,Tuesday,Mechanical,20
2024-01-02,Tuesday,Mechanical,11
2024-01-02,Tuesday,Mechanical,18
2024-01-02,Tuesday,Operations - Operator,9
2024-01-02,Tuesday,Cleaning - Unsanitary,8
2024-01-02,Tuesday,Cleaning - Unsanitary,20
2024-01-02,Tuesday,Mechanical,55
2024-01-02,Tuesday,Cleaning - Unsanitary,8
2024-01-02,Tuesday,Diversion,456
2024-01-02,Tuesday,Cleaning - Unsanitary,10
2024-01-02,Tuesday,Utilized Off Route,9
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,12
2024-01-02,Tuesday,Operations - Operator,19
2024-01-02,Tuesday,Operations - Operator,22
2024-01-02,Tuesday,Operations - Operator,8
2024-01-02,Tuesday,Collision - TTC,26
2024-01-02,Tuesday,Vision,6
2024-01-02,Tuesday,Cleaning - Unsanitary,12
2024-01-02,Tuesday,Vision,30
2024-01-02,Tuesday,General Delay,0
2024-01-02,Tuesday,Investigation,0
2024-01-02,Tuesday,Mechanical,25
2024-01-02,Tuesday,Mechanical,12
2024-01-02,Tuesday,Mechanical,13
2024-01-02,Tuesday,Mechanical,11
2024-01-02,Tuesday,Mechanical,25
2024-01-02,Tuesday,Mechanical,25
2024-01-02,Tuesday,Mechanical,12
2024-01-02,Tuesday,Mechanical,12
2024-01-02,Tuesday,Investigation,0
2024-01-02,Tuesday,Mechanical,12
2024-01-02,Tuesday,Emergency Services,10
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Operations - Operator,25
2024-01-02,Tuesday,Mechanical,11
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,14
2024-01-02,Tuesday,Operations - Operator,15
2024-01-02,Tuesday,Utilized Off Route,7
2024-01-02,Tuesday,Security,8
2024-01-02,Tuesday,Operations - Operator,13
2024-01-02,Tuesday,Diversion,117
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,12
2024-01-02,Tuesday,Security,15
2024-01-02,Tuesday,Mechanical,0
2024-01-02,Tuesday,Vision,9
2024-01-02,Tuesday,Mechanical,14
2024-01-02,Tuesday,Mechanical,12
2024-01-02,Tuesday,Security,20
2024-01-02,Tuesday,Collision - TTC,12
2024-01-02,Tuesday,Operations - Operator,7
2024-01-02,Tuesday,Operations - Operator,6
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Cleaning - Unsanitary,9
2024-01-02,Tuesday,Diversion,15
2024-01-02,Tuesday,Operations - Operator,12
2024-01-02,Tuesday,Operations - Operator,13
2024-01-02,Tuesday,Utilized Off Route,9
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Vision,24
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Emergency Services,20
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Operations - Operator,0
2024-01-02,Tuesday,Diversion,51
2024-01-02,Tuesday,Utilized Off Route,15
2024-01-02,Tuesday,Utilized Off Route,10
2024-01-02,Tuesday,Utilized Off Route,28
2024-01-02,Tuesday,Utilized Off Route,28
2024-01-02,Tuesday,Utilized Off Route,10
2024-01-02,Tuesday,Collision - TTC,12
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Diversion,60
2024-01-02,Tuesday,Utilized Off Route,15
2024-01-02,Tuesday,Utilized Off Route,8
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Operations - Operator,0
2024-01-02,Tuesday,Operations - Operator,20
2024-01-02,Tuesday,Emergency Services,13
2024-01-02,Tuesday,Cleaning - Unsanitary,8
2024-01-02,Tuesday,Emergency Services,20
2024-01-02,Tuesday,Mechanical,10
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Security,16
2024-01-02,Tuesday,Mechanical,20
2024-01-02,Tuesday,Security,10
2024-01-02,Tuesday,Operations - Operator,10
2024-01-02,Tuesday,Security,12
2024-01-02,Tuesday,Diversion,189
2024-01-02,Tuesday,Emergency Services,30
2024-01-02,Tuesday,Security,0
2024-01-02,Tuesday,Security,12
2024-01-02,Tuesday,Diversion,101
2024-01-02,Tuesday,Diversion,30
2024-01-02,Tuesday,Collision - TTC,10
2024-01-02,Tuesday,Collision - TTC,0
2024-01-02,Tuesday,Security,9
2024-01-02,Tuesday,Diversion,35
2024-01-02,Tuesday,Mechanical,20
2024-01-02,Tuesday,Mechanical,20
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Mechanical,30
2024-01-03,Wednesday,Operations - Operator,20
2024-01-03,Wednesday,Security,0
2024-01-03,Wednesday,Investigation,30
2024-01-03,Wednesday,Security,0
2024-01-03,Wednesday,Emergency Services,0
2024-01-03,Wednesday,Mechanical,0
2024-01-03,Wednesday,General Delay,7
2024-01-03,Wednesday,Security,0
2024-01-03,Wednesday,Mechanical,12
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Cleaning - Unsanitary,20
2024-01-03,Wednesday,Operations - Operator,5
2024-01-03,Wednesday,Security,8
2024-01-03,Wednesday,Operations - Operator,5
2024-01-03,Wednesday,Mechanical,7
2024-01-03,Wednesday,Mechanical,0
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Mechanical,11
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Operations - Operator,0
2024-01-03,Wednesday,Diversion,30
2024-01-03,Wednesday,Mechanical,5
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Collision - TTC,10
2024-01-03,Wednesday,Emergency Services,3
2024-01-03,Wednesday,Mechanical,7
2024-01-03,Wednesday,Mechanical,7
2024-01-03,Wednesday,Mechanical,15
2024-01-03,Wednesday,Cleaning - Unsanitary,15
2024-01-03,Wednesday,Diversion,109
2024-01-03,Wednesday,Operations - Operator,9
2024-01-03,Wednesday,Security,0
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Mechanical,7
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Collision - TTC,9
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Operations - Operator,9
2024-01-03,Wednesday,Mechanical,9
2024-01-03,Wednesday,Collision - TTC,8
2024-01-03,Wednesday,Operations - Operator,13
2024-01-03,Wednesday,Mechanical,7
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Vision,11
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Collision - TTC,8
2024-01-03,Wednesday,Mechanical,20
2024-01-03,Wednesday,Mechanical,16
2024-01-03,Wednesday,Mechanical,25
2024-01-03,Wednesday,Mechanical,25
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Collision - TTC,15
2024-01-03,Wednesday,Operations - Operator,20
2024-01-03,Wednesday,Mechanical,25
2024-01-03,Wednesday,Mechanical,20
2024-01-03,Wednesday,Mechanical,24
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Emergency Services,0
2024-01-03,Wednesday,Mechanical,40
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Emergency Services,10
2024-01-03,Wednesday,Cleaning - Unsanitary,8
2024-01-03,Wednesday,Mechanical,14
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Operations - Operator,7
2024-01-03,Wednesday,Mechanical,20
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Mechanical,17
2024-01-03,Wednesday,Mechanical,15
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Mechanical,17
2024-01-03,Wednesday,Operations - Operator,30
2024-01-03,Wednesday,Security,12
2024-01-03,Wednesday,Emergency Services,13
2024-01-03,Wednesday,Mechanical,0
2024-01-03,Wednesday,Mechanical,9
2024-01-03,Wednesday,Mechanical,31
2024-01-03,Wednesday,Mechanical,15
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Operations - Operator,23
2024-01-03,Wednesday,Mechanical,20
2024-01-03,Wednesday,Emergency Services,20
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Cleaning - Unsanitary,10
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Mechanical,12
2024-01-03,Wednesday,Mechanical,28
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Operations - Operator,17
2024-01-03,Wednesday,Operations - Operator,24
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Mechanical,18
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Vision,8
2024-01-03,Wednesday,Operations - Operator,9
2024-01-03,Wednesday,Diversion,31
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Mechanical,25
2024-01-03,Wednesday,Operations - Operator,9
2024-01-03,Wednesday,Mechanical,12
2024-01-03,Wednesday,Vision,12
2024-01-03,Wednesday,Operations - Operator,20
2024-01-03,Wednesday,Collision - TTC,14
2024-01-03,Wednesday,Operations - Operator,11
2024-01-03,Wednesday,Security,12
2024-01-03,Wednesday,Emergency Services,10
2024-01-03,Wednesday,Diversion,229
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Diversion,220
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Utilized Off Route,11
2024-01-03,Wednesday,Utilized Off Route,11
2024-01-03,Wednesday,Diversion,215
2024-01-03,Wednesday,Utilized Off Route,11
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Mechanical,24
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Utilized Off Route,9
2024-01-03,Wednesday,Operations - Operator,24
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Utilized Off Route,12
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Mechanical,9
2024-01-03,Wednesday,Mechanical,8
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Cleaning - Unsanitary,10
2024-01-03,Wednesday,Operations - Operator,20
2024-01-03,Wednesday,Operations - Operator,11
2024-01-03,Wednesday,Collision - TTC,18
2024-01-03,Wednesday,Emergency Services,0
2024-01-03,Wednesday,Cleaning - Unsanitary,15
2024-01-03,Wednesday,Security,10
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Utilized Off Route,15
2024-01-03,Wednesday,Mechanical,12
2024-01-03,Wednesday,Utilized Off Route,12
2024-01-03,Wednesday,Mechanical,7
2024-01-03,Wednesday,Utilized Off Route,12
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Utilized Off Route,8
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,Utilized Off Route,8
2024-01-03,Wednesday,Operations - Operator,20
2024-01-03,Wednesday,Cleaning - Unsanitary,10
2024-01-03,Wednesday,Investigation,30
2024-01-03,Wednesday,Utilized Off Route,15
2024-01-03,Wednesday,Utilized Off Route,12
2024-01-03,Wednesday,Utilized Off Route,8
2024-01-03,Wednesday,Utilized Off Route,10
2024-01-03,Wednesday,Utilized Off Route,9
2024-01-03,Wednesday,Vision,6
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Vision,12
2024-01-03,Wednesday,Operations - Operator,8
2024-01-03,Wednesday,Operations - Operator,20
2024-01-03,Wednesday,Mechanical,10
2024-01-03,Wednesday,Emergency Services,20
2024-01-03,Wednesday,Operations - Operator,25
2024-01-03,Wednesday,Mechanical,15
2024-01-03,Wednesday,Mechanical,20
2024-01-03,Wednesday,Operations - Operator,10
2024-01-03,Wednesday,General Delay,15
2024-01-03,Wednesday,Security,0
2024-01-03,Wednesday,Security,10
2024-01-03,Wednesday,Mechanical,30
2024-01-03,Wednesday,Security,15
2024-01-03,Wednesday,Mechanical,24
2024-01-03,Wednesday,Diversion,140
2024-01-03,Wednesday,Emergency Services,0
2024-01-03,Wednesday,Security,10
2024-01-03,Wednesday,Emergency Services,10
2024-01-04,Thursday,Security,30
2024-01-04,Thursday,Cleaning - Unsanitary,20
2024-01-04,Thursday,General Delay,24
2024-01-04,Thursday,Cleaning - Unsanitary,5
2024-01-04,Thursday,Operations - Operator,20
2024-01-04,Thursday,Security,0
2024-01-04,Thursday,Emergency Services,30
2024-01-04,Thursday,Emergency Services,30
2024-01-04,Thursday,Emergency Services,30
2024-01-04,Thursday,Operations - Operator,8
2024-01-04,Thursday,Operations - Operator,8
2024-01-04,Thursday,Operations - Operator,28
2024-01-04,Thursday,Operations - Operator,7
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Operations - Operator,16
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Security,15
2024-01-04,Thursday,Operations - Operator,12
2024-01-04,Thursday,Operations - Operator,7
2024-01-04,Thursday,Mechanical,11
2024-01-04,Thursday,General Delay,21
2024-01-04,Thursday,Operations - Operator,15
2024-01-04,Thursday,Mechanical,8
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Cleaning - Unsanitary,10
2024-01-04,Thursday,Operations - Operator,6
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Vision,8
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Mechanical,9
2024-01-04,Thursday,Security,9
2024-01-04,Thursday,Mechanical,11
2024-01-04,Thursday,Operations - Operator,9
2024-01-04,Thursday,Security,15
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Mechanical,11
2024-01-04,Thursday,Mechanical,6
2024-01-04,Thursday,Operations - Operator,8
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Operations - Operator,5
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,6
2024-01-04,Thursday,Operations - Operator,24
2024-01-04,Thursday,Operations - Operator,20
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Operations - Operator,25
2024-01-04,Thursday,Mechanical,8
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Mechanical,14
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Mechanical,8
2024-01-04,Thursday,Mechanical,16
2024-01-04,Thursday,Mechanical,9
2024-01-04,Thursday,Operations - Operator,6
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Utilized Off Route,11
2024-01-04,Thursday,Utilized Off Route,15
2024-01-04,Thursday,Utilized Off Route,15
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Utilized Off Route,9
2024-01-04,Thursday,Utilized Off Route,12
2024-01-04,Thursday,Utilized Off Route,8
2024-01-04,Thursday,Security,0
2024-01-04,Thursday,Operations - Operator,11
2024-01-04,Thursday,Cleaning - Unsanitary,15
2024-01-04,Thursday,Operations - Operator,20
2024-01-04,Thursday,Utilized Off Route,10
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Utilized Off Route,16
2024-01-04,Thursday,Mechanical,28
2024-01-04,Thursday,Investigation,15
2024-01-04,Thursday,Mechanical,14
2024-01-04,Thursday,Mechanical,20
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Mechanical,5
2024-01-04,Thursday,Collision - TTC,55
2024-01-04,Thursday,Operations - Operator,30
2024-01-04,Thursday,Operations - Operator,22
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Utilized Off Route,204
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Emergency Services,10
2024-01-04,Thursday,Mechanical,18
2024-01-04,Thursday,Mechanical,8
2024-01-04,Thursday,Mechanical,9
2024-01-04,Thursday,Collision - TTC,13
2024-01-04,Thursday,Mechanical,0
2024-01-04,Thursday,Cleaning - Unsanitary,10
2024-01-04,Thursday,Operations - Operator,0
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Investigation,18
2024-01-04,Thursday,Operations - Operator,5
2024-01-04,Thursday,Emergency Services,12
2024-01-04,Thursday,Mechanical,15
2024-01-04,Thursday,Cleaning - Unsanitary,20
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Mechanical,14
2024-01-04,Thursday,Diversion,110
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Utilized Off Route,14
2024-01-04,Thursday,Operations - Operator,7
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Operations - Operator,24
2024-01-04,Thursday,Operations - Operator,9
2024-01-04,Thursday,Mechanical,8
2024-01-04,Thursday,Mechanical,13
2024-01-04,Thursday,Diversion,45
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Diversion,45
2024-01-04,Thursday,Operations - Operator,15
2024-01-04,Thursday,Mechanical,9
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Mechanical,6
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Cleaning - Unsanitary,18
2024-01-04,Thursday,Operations - Operator,12
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,11
2024-01-04,Thursday,Cleaning - Unsanitary,24
2024-01-04,Thursday,Emergency Services,9
2024-01-04,Thursday,Collision - TTC,6
2024-01-04,Thursday,Security,10
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Utilized Off Route,10
2024-01-04,Thursday,Operations - Operator,8
2024-01-04,Thursday,Collision - TTC,8
2024-01-04,Thursday,Emergency Services,10
2024-01-04,Thursday,Mechanical,15
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Cleaning - Unsanitary,11
2024-01-04,Thursday,Mechanical,10
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Operations - Operator,0
2024-01-04,Thursday,Operations - Operator,15
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Operations - Operator,12
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Operations - Operator,20
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Investigation,0
2024-01-04,Thursday,Diversion,36
2024-01-04,Thursday,Cleaning - Unsanitary,12
2024-01-04,Thursday,Mechanical,5
2024-01-04,Thursday,Mechanical,7
2024-01-04,Thursday,Mechanical,18
2024-01-04,Thursday,Diversion,480
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Diversion,252
2024-01-04,Thursday,Cleaning - Unsanitary,30
2024-01-04,Thursday,Operations - Operator,22
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,13
2024-01-04,Thursday,Operations - Operator,15
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Mechanical,12
2024-01-04,Thursday,Mechanical,7
2024-01-04,Thursday,Collision - TTC,0
2024-01-04,Thursday,Operations - Operator,10
2024-01-04,Thursday,Operations - Operator,32
2024-01-04,Thursday,Investigation,31
2024-01-04,Thursday,Mechanical,15
2024-01-04,Thursday,Vision,32
2024-01-04,Thursday,Operations - Operator,1
2024-01-04,Thursday,Diversion,27
2024-01-04,Thursday,Mechanical,0
2024-01-04,Thursday,Operations - Operator,20
2024-01-04,Thursday,Security,20
2024-01-04,Thursday,Operations - Operator,25
2024-01-04,Thursday,Diversion,98
2024-01-04,Thursday,Operations - Operator,13
2024-01-04,Thursday,Utilized Off Route,0
2024-01-04,Thursday,Diversion,9
2024-01-04,Thursday,Emergency Services,20
2024-01-04,Thursday,Mechanical,20
2024-01-05,Friday,Diversion,210
2024-01-05,Friday,Diversion,5
2024-01-05,Friday,Vision,20
2024-01-05,Friday,Operations - Operator,1
2024-01-05,Friday,Operations - Operator,20
2024-01-05,Friday,Vision,15
2024-01-05,Friday,Emergency Services,6
2024-01-05,Friday,Operations - Operator,1
2024-01-05,Friday,Operations - Operator,9
2024-01-05,Friday,Operations - Operator,1
2024-01-05,Friday,Operations - Operator,7
2024-01-05,Friday,Operations - Operator,10
2024-01-05,Friday,Mechanical,10
2024-01-05,Friday,Mechanical,15
